Gene,Score,Score_T_AdjN,p_value,p_adj,Tumor_Tau,Delta_TN,T_max,max_tumor_type,N_max,TAdjN_max,ensembl_id
RP11-144L1.4,15.948347817133472,0.0,0.0,0.0,0.9999841877740663,15.948599999999999,5.9828,Thymoma,-9.9658,6.1569,ENSG00000236656
SNORA12,15.880096121076736,1.9148776781799115,0.0,0.0,0.9895497277556261,16.0478,6.082,Ovarian Serous Cystadenocarcinoma,-9.9658,4.1469000000000005,ENSG00000212464
SNORA57,15.416134323878271,2.531603046669781,7.408281385066139e-300,3.382537413084764e-298,0.9956749180641002,15.4831,5.5173,Ovarian Serous Cystadenocarcinoma,-9.9658,2.9747,ENSG00000206597
SNORA47,14.866099298864167,0.8451424710208884,0.0,0.0,0.9938760169587683,14.957699999999999,4.9919,Ovarian Serous Cystadenocarcinoma,-9.9658,4.1415500000000005,ENSG00000238961
MIR3648-1,14.600349651099654,3.6776309657891435,0.0,0.0,0.9854580684876723,14.8158,4.85,Ovarian Serous Cystadenocarcinoma,-9.9658,1.1181,ENSG00000275708
MIR3648-2,14.600349651099654,3.6776309657891435,0.0,0.0,0.9854580684876723,14.8158,4.85,Ovarian Serous Cystadenocarcinoma,-9.9658,1.1181,ENSG00000264462
MIR433,14.467261540102204,14.467261540102204,0.0,0.0,0.9999558705895261,14.4679,4.5021,Pheochromocytoma & Paraganglioma,-9.9658,-9.9658,ENSG00000207569
SNORA8,14.30359296120687,2.0655978957352006,1.3664267890981278e-263,3.8147710146219904e-262,0.9999505715908413,14.3043,4.3385,Ovarian Serous Cystadenocarcinoma,-9.9658,2.2728,ENSG00000207304
RNY3P8,14.046570326558793,7.215473811482238,3.395519740360414e-309,1.734984402468955e-307,0.9999409375798222,14.0474,4.0816,Prostate Adenocarcinoma,-9.9658,-3.1342999999999996,ENSG00000223298
SNORA7B,13.834623869399703,1.510368891232001,0.0,0.0,0.9757535313857489,14.1784,4.2126,Ovarian Serous Cystadenocarcinoma,-9.9658,2.6647,ENSG00000207088
SNORA22,13.501728854143005,0.15963472031021617,0.0,0.0,0.9820653356518991,13.7483,3.7825,Ovarian Serous Cystadenocarcinoma,-9.9658,3.6199500000000002,ENSG00000206634
RP11-603J24.9,13.458447859079632,0.6817314691743446,0.0,0.0,0.948232101223095,14.193200000000001,4.2274,Esophageal Carcinoma,-9.9658,3.50845,ENSG00000257411
OR10R2,12.899713724794122,0.0,0.0,0.0,0.999869295176812,12.901399999999999,2.9356,Thymoma,-9.9658,4.2747,ENSG00000198965
AC066694.1,12.818627539281422,0.0,1.9978706565238372e-222,3.948617411903924e-221,0.9998617468473232,12.8204,2.8546,Breast Invasive Carcinoma,-9.9658,4.0073,ENSG00000281204
AC016735.1,12.619861262935235,1.8075698200386896,1.8597884349812155e-193,3.1428346575277534e-192,0.9757725282942532,12.9332,2.9674,Thymoma,-9.9658,1.1149499999999999,ENSG00000224739
SNORA67,12.584553723639162,0.8268155579555562,2.5734042108150087e-169,3.8698933121025703e-168,0.9998374242161634,12.5866,2.6208,Ovarian Serous Cystadenocarcinoma,-9.9658,1.7938500000000002,ENSG00000277985
SNORA68,12.570435941396351,12.570435941396351,0.0,0.0,0.9998358275121377,12.5725,2.6067,Ovarian Serous Cystadenocarcinoma,-9.9658,-9.9658,ENSG00000207166
RMRP,12.468724508591334,0.0,8.492952004394082e-211,1.5650521180683313e-209,0.9568362475129946,13.0312,3.0654,Ovarian Serous Cystadenocarcinoma,-9.9658,3.6555,ENSG00000269900
SNORA11,12.467201218224105,12.467201218224105,1.4950290128376002e-261,4.100012022604222e-260,0.9998236657917867,12.4694,2.5036,Ovarian Serous Cystadenocarcinoma,-9.9658,-9.9658,ENSG00000221716
RP11-328P23.3,12.450728937601127,2.8067493092063134,2.8334582225220845e-160,4.0591654166739537e-159,0.9998216436748825,12.45295,2.4871499999999997,Kidney Chromophobe,-9.9658,-0.3201,ENSG00000226767
FP236383.5,12.369402352071164,3.1689365314937867,0.0,0.0,0.980927870329754,12.6099,2.6441,Ovarian Serous Cystadenocarcinoma,-9.9658,-0.58645,ENSG00000275783
AC010761.10,12.364513538908732,2.9633974302641533,0.0,0.0,0.9821680466207586,12.589,2.6232,Esophageal Carcinoma,-9.9658,-0.394,ENSG00000265840
SNORA33,12.305672922040081,0.0,7.192589015716484e-42,4.5468887175842825e-41,0.9998028064477931,12.3081,2.3423,Esophageal Carcinoma,-9.9658,4.1571,ENSG00000200534
SNORA71A,12.282849013191928,12.282849013191928,0.0,0.0,0.9836430406733292,12.4871,2.5213,Ovarian Serous Cystadenocarcinoma,-9.9658,-9.9658,ENSG00000225091
AC118345.1,12.247326325768256,4.068952873338188,0.0,0.0,0.9992026112023444,12.2571,2.2913,Kidney Chromophobe,-9.9658,-1.7809,ENSG00000227293
SNORA84,12.17447051006772,12.17447051006772,0.0,0.0,0.9997840627134311,12.1771,2.2113,Ovarian Serous Cystadenocarcinoma,-9.9658,-9.9658,ENSG00000239183
TMSB4XP1,12.109505644570284,0.0,1.1772356775023114e-45,7.622046662835493e-45,0.9520949810178856,12.7188,2.753,Glioblastoma Multiforme,-9.9658,3.01885,ENSG00000236876
JPX_1,12.105231163276601,0.0,2.968934530933744e-100,3.172281901314547e-99,0.9725967687808104,12.4463,2.4805,Ovarian Serous Cystadenocarcinoma,-9.9658,2.51995,ENSG00000274430
RP11-277E18.2,11.985649876044231,11.985649876044231,4.831411139732305e-144,6.419738878355479e-143,0.9997539225634545,11.9886,2.0228,Testicular Germ Cell Tumor,-9.9658,-9.9658,ENSG00000255356
